"product_id","product_name","category","customer_segment","feedback_id","order_id","sentiment","feedback_category"
"4452","Baby Wipes","Baby Care","New","5131050","3856301920","Positive","Delivery"
"4452","Baby Wipes","Baby Care","New","1253497","4507702369","Positive","App Experience"
"4452","Baby Wipes","Baby Care","Premium","3931686","9107923488","Positive","Delivery"
"4452","Baby Wipes","Baby Care","Premium","1374697","7381549355","Positive","Customer Service"
"4452","Baby Wipes","Baby Care","Premium","3561233","1492403962","Positive","Delivery"
"4452","Baby Wipes","Baby Care","Regular","5831923","2964153358","Positive","Delivery"
"4452","Baby Wipes","Baby Care","Regular","8194084","4976389251","Positive","Product Quality"
"4452","Baby Wipes","Baby Care","New","5188558","2051599638","Negative","Product Quality"
"4452","Baby Wipes","Baby Care","New","8133334","3612128358","Negative","App Experience"
"4452","Baby Wipes","Baby Care","New","5356218","2687236003","Negative","Customer Service"
"4452","Baby Wipes","Baby Care","New","3884291","4158839033","Negative","App Experience"
"4452","Baby Wipes","Baby Care","Premium","6206688","3141803761","Negative","App Experience"
"6405","Baby Food","Baby Care","Regular","428466","9851618724","Positive","Customer Service"
"6405","Baby Food","Baby Care","Regular","5430121","5340575011","Positive","Delivery"
"6405","Baby Food","Baby Care","New","8520319","1731478314","Negative","App Experience"
"6405","Baby Food","Baby Care","New","2554640","2189360099","Negative","App Experience"
"6405","Baby Food","Baby Care","Premium","6178535","6727230123","Negative","App Experience"
"6405","Baby Food","Baby Care","Premium","4946224","203136866","Negative","Delivery"
"6405","Baby Food","Baby Care","Regular","4822708","5655369002","Negative","Delivery"
"6405","Baby Food","Baby Care","Regular","4604799","1270503169","Negative","Delivery"
"6405","Baby Food","Baby Care","Regular","2762703","6425666148","Negative","App Experience"
"9436","Toothpaste","Personal Care","New","5532216","8388644219","Positive","Delivery"
"9436","Toothpaste","Personal Care","New","3086538","9403371764","Positive","Product Quality"
"9436","Toothpaste","Personal Care","New","8948120","6705171000","Positive","Product Quality"
"9436","Toothpaste","Personal Care","New","8519341","9268920928","Negative","Product Quality"
"9436","Toothpaste","Personal Care","Premium","7820768","8969304162","Negative","Customer Service"
"9436","Toothpaste","Personal Care","Premium","4994524","1013630716","Negative","Product Quality"
"9436","Toothpaste","Personal Care","Premium","9371226","6832610950","Negative","Customer Service"
"9436","Toothpaste","Personal Care","Regular","3288975","2716611235","Negative","Delivery"
"9436","Toothpaste","Personal Care","Regular","5560900","5932091553","Negative","App Experience"
"9436","Toothpaste","Personal Care","Regular","4969464","8026827967","Negative","App Experience"
"9436","Toothpaste","Personal Care","Regular","6200903","1916638346","Negative","App Experience"
"11422","Potatoes","Fruits & Vegetables","New","679157","7968718292","Positive","Customer Service"
"11422","Potatoes","Fruits & Vegetables","Premium","9827150","6798589010","Positive","Customer Service"
"11422","Potatoes","Fruits & Vegetables","Premium","6193752","6672582413","Positive","App Experience"
"11422","Potatoes","Fruits & Vegetables","Premium","4726161","9768154003","Positive","Delivery"
"11422","Potatoes","Fruits & Vegetables","Regular","4987316","9956872454","Positive","Product Quality"
"11422","Potatoes","Fruits & Vegetables","Premium","2818195","9074325310","Negative","Customer Service"
"11422","Potatoes","Fruits & Vegetables","Regular","5771681","114851727","Negative","Delivery"
"11422","Potatoes","Fruits & Vegetables","Regular","5445599","6763510083","Negative","Product Quality"
"14145","Spinach","Fruits & Vegetables","New","7519652","1380326453","Positive","Delivery"
"14145","Spinach","Fruits & Vegetables","New","2917013","2016183232","Positive","Customer Service"
"14145","Spinach","Fruits & Vegetables","Premium","7041781","6696750742","Positive","App Experience"
"14145","Spinach","Fruits & Vegetables","Premium","5650852","2585438297","Positive","Customer Service"
"14145","Spinach","Fruits & Vegetables","Premium","1670300","313663478","Positive","Product Quality"
"14145","Spinach","Fruits & Vegetables","Premium","9980417","253430904","Positive","Delivery"
"14145","Spinach","Fruits & Vegetables","Regular","8117237","1837403174","Positive","Delivery"
"14145","Spinach","Fruits & Vegetables","Regular","6538134","4264335652","Positive","Customer Service"
"14145","Spinach","Fruits & Vegetables","Regular","5459836","3915885220","Positive","App Experience"
"14145","Spinach","Fruits & Vegetables","Regular","1500768","8091385479","Positive","Customer Service"
"14145","Spinach","Fruits & Vegetables","New","3629147","3253225736","Negative","Product Quality"
"14145","Spinach","Fruits & Vegetables","New","4341712","9172888683","Negative","App Experience"
"14145","Spinach","Fruits & Vegetables","New","5850548","807167715","Negative","Product Quality"
"14145","Spinach","Fruits & Vegetables","New","5588336","4754258275","Negative","Delivery"
"14145","Spinach","Fruits & Vegetables","Regular","6712892","3047491006","Negative","Product Quality"
"14145","Spinach","Fruits & Vegetables","Regular","6062833","757816226","Negative","Customer Service"
"14145","Spinach","Fruits & Vegetables","Regular","2009787","7736534043","Negative","Customer Service"
"15314","Cheese","Dairy & Breakfast","Premium","3218067","6468633344","Positive","Product Quality"
"15314","Cheese","Dairy & Breakfast","Premium","4669199","1354097448","Positive","Product Quality"
"15314","Cheese","Dairy & Breakfast","Regular","2535594","7985347262","Positive","Customer Service"
"15314","Cheese","Dairy & Breakfast","Regular","1359445","8671875127","Positive","App Experience"
"15314","Cheese","Dairy & Breakfast","Regular","4258919","4706569127","Positive","Delivery"
"15314","Cheese","Dairy & Breakfast","Regular","492696","9578652103","Positive","App Experience"
"15314","Cheese","Dairy & Breakfast","New","7044768","814260962","Negative","Product Quality"
"15314","Cheese","Dairy & Breakfast","New","4075651","436184281","Negative","App Experience"
"15314","Cheese","Dairy & Breakfast","Regular","9816353","5211751826","Negative","Customer Service"
"18035","Dish Soap","Household Care","New","4850003","8178951021","Positive","Delivery"
"18035","Dish Soap","Household Care","New","7700925","6190907327","Positive","Customer Service"
"18035","Dish Soap","Household Care","Premium","7669095","7690500286","Positive","Customer Service"
"18035","Dish Soap","Household Care","Premium","7711849","6961457996","Positive","Customer Service"
"18035","Dish Soap","Household Care","Regular","7974999","5587148302","Positive","Product Quality"
"18035","Dish Soap","Household Care","Regular","6536852","7157334145","Positive","Customer Service"
"18035","Dish Soap","Household Care","Regular","2209082","4692680597","Positive","Product Quality"
"18035","Dish Soap","Household Care","New","2610256","3872093894","Negative","Customer Service"
"18035","Dish Soap","Household Care","Premium","6105898","647012431","Negative","Customer Service"
"26060","Vitamins","Pharmacy","New","7394180","9244122658","Positive","App Experience"
"26060","Vitamins","Pharmacy","Premium","3638438","8208980848","Positive","App Experience"
"26060","Vitamins","Pharmacy","New","7059559","4825878367","Negative","Delivery"
"26060","Vitamins","Pharmacy","New","5161924","8071046067","Negative","Product Quality"
"26060","Vitamins","Pharmacy","Premium","7638910","2241930006","Negative","Customer Service"
"26060","Vitamins","Pharmacy","Regular","8997243","7741314063","Negative","Customer Service"
"26060","Vitamins","Pharmacy","Regular","1735575","212856641","Negative","Product Quality"
"26060","Vitamins","Pharmacy","Regular","9745124","9991338690","Negative","Delivery"
"33797","Pain Reliever","Pharmacy","Premium","9618583","8837578937","Positive","Product Quality"
"33797","Pain Reliever","Pharmacy","New","8886190","3907403745","Negative","Customer Service"
"33955","Frozen Pizza","Instant & Frozen Food","New","3510523","6739114301","Positive","Delivery"
"33955","Frozen Pizza","Instant & Frozen Food","New","1882765","7605774154","Positive","Customer Service"
"33955","Frozen Pizza","Instant & Frozen Food","Regular","6949693","3315369956","Positive","App Experience"
"33955","Frozen Pizza","Instant & Frozen Food","Regular","698204","7404052550","Positive","Delivery"
"33955","Frozen Pizza","Instant & Frozen Food","New","9939985","80296810","Negative","Delivery"
"33955","Frozen Pizza","Instant & Frozen Food","Regular","1307363","1491991005","Negative","Product Quality"
"34186","Mangoes","Fruits & Vegetables","New","4576752","1814491335","Positive","App Experience"
"34186","Mangoes","Fruits & Vegetables","New","7138726","3480516243","Positive","Product Quality"
"34186","Mangoes","Fruits & Vegetables","New","3659354","8151274002","Positive","Customer Service"
"34186","Mangoes","Fruits & Vegetables","Premium","9896176","9240312177","Positive","Customer Service"
"34186","Mangoes","Fruits & Vegetables","Premium","5172688","6012082951","Positive","Customer Service"
"34186","Mangoes","Fruits & Vegetables","Premium","2676559","5922953060","Positive","Product Quality"
"34186","Mangoes","Fruits & Vegetables","Regular","4407642","6873424093","Positive","Customer Service"
"34186","Mangoes","Fruits & Vegetables","Regular","4483011","2485242479","Positive","Delivery"
"34186","Mangoes","Fruits & Vegetables","Regular","1109573","2407168640","Positive","App Experience"
"34186","Mangoes","Fruits & Vegetables","Regular","5208877","2959828441","Positive","Customer Service"
"34186","Mangoes","Fruits & Vegetables","New","6016974","1454073903","Negative","Delivery"
"34186","Mangoes","Fruits & Vegetables","New","7125025","8551965787","Negative","Product Quality"
"34186","Mangoes","Fruits & Vegetables","New","7755068","8726515908","Negative","Product Quality"
"34186","Mangoes","Fruits & Vegetables","Premium","5965876","8916023990","Negative","Customer Service"
"34186","Mangoes","Fruits & Vegetables","Regular","6436332","6932431317","Negative","Customer Service"
"34186","Mangoes","Fruits & Vegetables","Regular","9028323","4903335316","Negative","Delivery"
"34200","Lotion","Personal Care","New","6981223","4204069161","Positive","Customer Service"
"34200","Lotion","Personal Care","Premium","895480","2120411967","Positive","Customer Service"
"34200","Lotion","Personal Care","Premium","8726995","6947225582","Positive","Customer Service"
"34200","Lotion","Personal Care","New","6870274","4270941188","Negative","Product Quality"
"34200","Lotion","Personal Care","New","6773477","3668828731","Negative","App Experience"
"34200","Lotion","Personal Care","New","1179714","6575532281","Negative","Product Quality"
"34200","Lotion","Personal Care","New","2878840","4797768073","Negative","App Experience"
"34200","Lotion","Personal Care","Premium","2446665","2620581496","Negative","Product Quality"
"34200","Lotion","Personal Care","Premium","5058986","8531683720","Negative","Product Quality"
"34200","Lotion","Personal Care","Regular","1837680","3329455953","Negative","Delivery"
"34200","Lotion","Personal Care","Regular","1302585","3592747590","Negative","Customer Service"
"34200","Lotion","Personal Care","Regular","6336442","881367843","Negative","Delivery"
"36412","Dish Soap","Household Care","New","9907249","3115167739","Positive","Delivery"
"36412","Dish Soap","Household Care","New","8021559","2683672396","Positive","Customer Service"
"36412","Dish Soap","Household Care","New","5820841","6373867899","Positive","Delivery"
"36412","Dish Soap","Household Care","Premium","610781","3792912325","Positive","Product Quality"
"36412","Dish Soap","Household Care","Premium","5228421","4285784267","Positive","App Experience"
"36412","Dish Soap","Household Care","Premium","187542","8941550852","Positive","Delivery"
"36412","Dish Soap","Household Care","Regular","4029981","2706229594","Positive","Product Quality"
"36412","Dish Soap","Household Care","Regular","5975783","2761855959","Positive","App Experience"
"36412","Dish Soap","Household Care","New","4125665","5046906329","Negative","Customer Service"
"36412","Dish Soap","Household Care","New","8144657","8329733630","Negative","Delivery"
"36412","Dish Soap","Household Care","New","8197033","8939040193","Negative","Product Quality"
"36412","Dish Soap","Household Care","Premium","2664164","7848556658","Negative","Customer Service"
"36412","Dish Soap","Household Care","Premium","9982658","9647928644","Negative","Customer Service"
"39154","Mangoes","Fruits & Vegetables","New","1330308","2973976544","Positive","Product Quality"
"39154","Mangoes","Fruits & Vegetables","Premium","8545346","3368317718","Positive","Customer Service"
"39154","Mangoes","Fruits & Vegetables","Regular","2792178","2929883167","Positive","Product Quality"
"39154","Mangoes","Fruits & Vegetables","Regular","8560926","9797013595","Positive","App Experience"
"39154","Mangoes","Fruits & Vegetables","Regular","9135740","924888012","Positive","Delivery"
"39154","Mangoes","Fruits & Vegetables","Regular","7901453","1996683408","Positive","Customer Service"
"39154","Mangoes","Fruits & Vegetables","New","1401798","7666131311","Negative","Delivery"
"39154","Mangoes","Fruits & Vegetables","New","9992700","8310385249","Negative","App Experience"
"39154","Mangoes","Fruits & Vegetables","Premium","9628961","6647259959","Negative","Customer Service"
"39154","Mangoes","Fruits & Vegetables","Regular","3360056","8608459871","Negative","Delivery"
"39154","Mangoes","Fruits & Vegetables","Regular","4021637","3823949592","Negative","Customer Service"
"41853","Curd","Dairy & Breakfast","New","6503213","3204128006","Positive","Product Quality"
"41853","Curd","Dairy & Breakfast","Premium","34461","5648212121","Positive","Customer Service"
"41853","Curd","Dairy & Breakfast","New","2518165","7957986242","Negative","Product Quality"
